rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier
1,client_9958f0a7ae1df715,content_0457310428cc47ce,99.1,declining,0.99,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,29848.0,320.0,0.0107,12.78,13.97,92,high
2,client_9958f0a7ae1df715,content_2ffcc54d1fa53b93,98.45,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,34759.0,443.0,0.0127,7.82,4.9,92,high
3,client_9958f0a7ae1df715,content_0642dc7f62d4f780,98.09,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,25535.0,385.0,0.0151,12.93,18.28,92,high
4,client_23a62021009f63c4,content_baf95fce210918dc,98.08,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,34062.0,426.0,0.0125,8.61,5.49,92,high
5,client_9958f0a7ae1df715,content_dc84473ea94d2c61,97.94,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,18125.0,182.0,0.01,13.11,11.85,92,high
6,client_23a62021009f63c4,content_abcf92df584d6abe,97.92,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,26308.0,179.0,0.0068,14.57,16.42,92,high
7,client_9958f0a7ae1df715,content_1d5fb7350f7e799b,97.91,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,25577.0,221.0,0.0086,19.5,19.48,92,high
8,client_23a62021009f63c4,content_acbb95318c6cd1d2,97.73,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11389.0,33.0,0.0029,17.94,19.29,92,high
9,client_9958f0a7ae1df715,content_0fc7c1dc243a23a1,97.7,declining,0.96,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,61417.0,372.0,0.0061,7.41,4.46,92,high
10,client_23a62021009f63c4,content_b7e2bd8e8a647758,97.68,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,14321.0,159.0,0.0111,12.83,10.96,92,high
11,client_9958f0a7ae1df715,content_42286874bdd8aece,97.62,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,13657.0,163.0,0.0119,11.13,14.82,92,high
12,client_23a62021009f63c4,content_61a5ebecfb3b0181,97.56,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,17952.0,94.0,0.0052,10.97,17.36,92,high
13,client_9958f0a7ae1df715,content_8564544097d10803,97.29,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,48931.0,326.0,0.0067,9.97,6.6,92,high
