rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier,human_review_note,what_would_make_it_wrong
1,client_9958f0a7ae1df715,content_0457310428cc47ce,99.1,declining,0.99,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,29848.0,320.0,0.0107,12.78,13.97,92,high,"Review declining recommendation with 99.0% confidence and 29,848 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
2,client_9958f0a7ae1df715,content_2ffcc54d1fa53b93,98.45,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,34759.0,443.0,0.0127,7.82,4.9,92,high,"Review declining recommendation with 97.7% confidence and 34,759 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
3,client_9958f0a7ae1df715,content_0642dc7f62d4f780,98.09,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,25535.0,385.0,0.0151,12.93,18.28,92,high,"Review declining recommendation with 97.3% confidence and 25,535 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
4,client_23a62021009f63c4,content_baf95fce210918dc,98.08,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,34062.0,426.0,0.0125,8.61,5.49,92,high,"Review declining recommendation with 97.0% confidence and 34,062 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
5,client_9958f0a7ae1df715,content_dc84473ea94d2c61,97.94,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,18125.0,182.0,0.01,13.11,11.85,92,high,"Review declining recommendation with 98.0% confidence and 18,125 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
6,client_23a62021009f63c4,content_abcf92df584d6abe,97.92,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,26308.0,179.0,0.0068,14.57,16.42,92,high,"Review declining recommendation with 97.0% confidence and 26,308 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
7,client_9958f0a7ae1df715,content_1d5fb7350f7e799b,97.91,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,25577.0,221.0,0.0086,19.5,19.48,92,high,"Review declining recommendation with 97.0% confidence and 25,577 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
8,client_23a62021009f63c4,content_acbb95318c6cd1d2,97.73,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11389.0,33.0,0.0029,17.94,19.29,92,high,"Review declining recommendation with 98.7% confidence and 11,389 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
9,client_9958f0a7ae1df715,content_0fc7c1dc243a23a1,97.7,declining,0.96,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,61417.0,372.0,0.0061,7.41,4.46,92,high,"Review declining recommendation with 96.0% confidence and 61,417 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
10,client_23a62021009f63c4,content_b7e2bd8e8a647758,97.68,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,14321.0,159.0,0.0111,12.83,10.96,92,high,"Review declining recommendation with 98.0% confidence and 14,321 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
11,client_9958f0a7ae1df715,content_42286874bdd8aece,97.62,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,13657.0,163.0,0.0119,11.13,14.82,92,high,"Review declining recommendation with 98.0% confidence and 13,657 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
12,client_23a62021009f63c4,content_61a5ebecfb3b0181,97.56,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,17952.0,94.0,0.0052,10.97,17.36,92,high,"Review declining recommendation with 97.3% confidence and 17,952 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
13,client_9958f0a7ae1df715,content_8564544097d10803,97.29,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,48931.0,326.0,0.0067,9.97,6.6,92,high,"Review declining recommendation with 95.3% confidence and 48,931 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
14,client_9958f0a7ae1df715,content_cd4f8d41fa9457e4,97.27,declining,0.9566666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,30001.0,207.0,0.0069,11.55,11.8,92,high,"Review declining recommendation with 95.7% confidence and 30,001 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
15,client_9958f0a7ae1df715,content_29622838ba2887ee,97.26,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,44472.0,374.0,0.0084,7.9,6.03,92,high,"Review declining recommendation with 95.3% confidence and 44,472 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
16,client_23a62021009f63c4,content_6bd429ff27a2db57,97.25,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,42580.0,154.0,0.0036,33.71,18.36,92,high,"Review declining recommendation with 95.3% confidence and 42,580 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
17,client_9958f0a7ae1df715,content_5640ef6a86f078fd,97.17,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,14815.0,230.0,0.0155,7.34,8.52,92,high,"Review declining recommendation with 97.0% confidence and 14,815 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
18,client_9958f0a7ae1df715,content_08854aa6fe4b13da,97.16,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,8268.0,104.0,0.0126,10.73,14.71,92,high,"Review declining recommendation with 98.7% confidence and 8,268 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
19,client_9958f0a7ae1df715,content_cc0d01bc1c45f887,97.13,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,32465.0,263.0,0.0081,7.75,6.57,92,high,"Review declining recommendation with 95.3% confidence and 32,465 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
20,client_9958f0a7ae1df715,content_bd45ea71c40af456,97.11,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,8036.0,70.0,0.0087,22.34,19.89,92,high,"Review declining recommendation with 98.7% confidence and 8,036 observed impressions. Reason: HIGH_VOLUME_DECLINE_RISK. Check intent, seasonality, SERP context, tracking coverage, and current content before acting.","The recommendation may be wrong if demand changed, tracking is incomplete, the page serves a different intent, SERP features changed, or the content has already been updated."
